SequenceID	MarkerGene	mOTU	mOTU linkage Group Name
160765029-stool1_revised_C1113455_1_gene128315	COG0541	COG0541.OTUcal.v2.1993	motu_linkage_group_17
160765029-stool1_revised_C1113455_1_gene128312	COG0552	COG0552.OTUcal.v2.2045	motu_linkage_group_17
1042877.GQS_01575	COG0525	COG0525.OTUcal.v2.474	-
390874.Tpet_0348	COG0552	COG0552.OTUcal.v2.969	-
177439.DP2752	COG0018	COG0018.OTUcal.v2.317	-
768726.HMPREF9178_1572	COG0016	COG0016.OTUcal.v2.675	-
683083.C414_000220080	COG0016	COG0016.OTUcal.v2.243	-
502347.ESCAB7627_4179	COG0525	COG0525.OTUcal.v2.891	motu_linkage_group_607
439497.RR11_834	COG0215	COG0215.OTUcal.v2.989	-
764588959-stool1_revised_scaffold34804_2_gene172253	COG0018	COG0018.OTUcal.v2.1833	motu_linkage_group_366
691437.GC56T3_0219	COG0533	COG0533.OTUcal.v2.733	-
467661.RKLH11_2572	COG0016	COG0016.OTUcal.v2.192	-
904330.SEVCU107_1897	COG0552	COG0552.OTUcal.v2.1224	-
V1.UC8-0_revised_scaffold50291_7_gene81351	COG0012	COG0012.OTUcal.v2.1543	motu_linkage_group_352
546265.NEILACOT_05503	COG0552	COG0552.OTUcal.v2.1253	-
679204.HMPREF9348_01300	COG0541	COG0541.OTUcal.v2.1699	motu_linkage_group_607
633699.FI9785_750	COG0541	COG0541.OTUcal.v2.1437	-
488538.SAR116_2191	COG0012	COG0012.OTUcal.v2.875	-
158458797-stool1_revised_scaffold14788_1_gene60873	COG0016	COG0016.OTUcal.v2.1753	motu_linkage_group_277
166314.SH8109_2483	COG0533	COG0533.OTUcal.v2.1002	-
160400887-stool1_revised_scaffold30801_1_gene138498	COG0018	COG0018.OTUcal.v2.1785	motu_linkage_group_282
MH0015_revised_scaffold44448_10_gene39119	COG0533	COG0533.OTUcal.v2.1696	motu_linkage_group_206
420890.LCGL_1888	COG0525	COG0525.OTUcal.v2.870	-
MH0003_revised_scaffold2254_2_gene61768	COG0552	COG0552.OTUcal.v2.1996	motu_linkage_group_346
267410.LMOh7858_1779	COG0495	COG0495.OTUcal.v2.1733	-
273123.YPTB1998	COG0012	COG0012.OTUcal.v2.511	-
MH0047_revised_scaffold32912_3_gene11994	COG0533	COG0533.OTUcal.v2.619	motu_linkage_group_265
763901136-stool2_revised_C948946_1_gene2797	COG0012	COG0012.OTUcal.v2.1358	motu_linkage_group_299
699184.BCSJ1_28277	COG0215	COG0215.OTUcal.v2.763	-
457400.ESCG_01046	COG0525	COG0525.OTUcal.v2.891	motu_linkage_group_607
264731.PRU_2527	COG0495	COG0495.OTUcal.v2.1176	-
484021.KP1_4189	COG0541	COG0541.OTUcal.v2.1036	motu_linkage_group_714
160400887-stool1_revised_C1538964_1_gene629	COG0525	COG0525.OTUcal.v2.1775	motu_linkage_group_274
159207311-stool2_revised_scaffold33260_1_gene13739	COG0018	COG0018.OTUcal.v2.1789	motu_linkage_group_238
511680.BUTYVIB_01591	COG0495	COG0495.OTUcal.v2.458	motu_linkage_group_155
MH0053_revised_scaffold3031_13_gene19585	COG0552	COG0552.OTUcal.v2.2000	motu_linkage_group_74
763961826-stool1_revised_scaffold16300_1_gene91798	COG0172	COG0172.OTUcal.v2.1580	motu_linkage_group_109
159814214-stool1_revised_scaffold15902_1_gene4738	COG0215	COG0215.OTUcal.v2.1766	motu_linkage_group_131
MH0008_revised_scaffold5629_2_gene19263	COG0533	COG0533.OTUcal.v2.639	motu_linkage_group_196
749513.HMPREF9516_01727	COG0495	COG0495.OTUcal.v2.445	-
MH0082_revised_scaffold38202_1_gene34100	COG0533	COG0533.OTUcal.v2.1764	motu_linkage_group_104
445334.CPC_1903	COG0018	COG0018.OTUcal.v2.123	-
MH0060_revised_scaffold5317_1_gene13563	COG0172	COG0172.OTUcal.v2.1811	motu_linkage_group_260
717959.AL1_28040	COG0018	COG0018.OTUcal.v2.422	motu_linkage_group_141
702113.PP1Y_AT34154	COG0533	COG0533.OTUcal.v2.889	-
585535.HMPREF4655_21342	COG0525	COG0525.OTUcal.v2.1699	-
585535.HMPREF4655_21341	COG0541	COG0541.OTUcal.v2.1714	-
MH0008_revised_scaffold12927_2_gene31756	COG0541	COG0541.OTUcal.v2.1799	motu_linkage_group_394
640081.Dsui_0673	COG0018	COG0018.OTUcal.v2.870	-
907287.MHP168_013	COG0018	COG0018.OTUcal.v2.687	-
561231.Pecwa_2414	COG0012	COG0012.OTUcal.v2.1577	-
604812005-stool2_revised_scaffold53104_1_gene58031	COG0012	COG0012.OTUcal.v2.1782	motu_linkage_group_325
765640925-stool1_revised_C1202256_1_gene115880	COG0541	COG0541.OTUcal.v2.1293	motu_linkage_group_249
763597684-stool1_revised_scaffold72205_1_gene149005	COG0016	COG0016.OTUcal.v2.457	motu_linkage_group_155
158337416-stool1_revised_scaffold8444_1_gene94291	COG0533	COG0533.OTUcal.v2.747	motu_linkage_group_639
396588.Tgr7_0845	COG0541	COG0541.OTUcal.v2.1525	-
158337416-stool2_revised_scaffold22529_1_gene145014	COG0012	COG0012.OTUcal.v2.2074	-
887325.HMPREF0381_2042	COG0552	COG0552.OTUcal.v2.1634	-
351016.RAZWK3B_11536	COG0525	COG0525.OTUcal.v2.741	-
322098.AYWB_656	COG0495	COG0495.OTUcal.v2.979	-
765094712-stool2_revised_scaffold12312_1_gene90399	COG0018	COG0018.OTUcal.v2.2031	-
1004153.ECAA86_00984	COG0172	COG0172.OTUcal.v2.920	motu_linkage_group_607
592027.CLG_B1494	COG0018	COG0018.OTUcal.v2.231	-
272623.L93500	COG0533	COG0533.OTUcal.v2.1521	motu_linkage_group_751
575612.HMPREF0660_00633	COG0552	COG0552.OTUcal.v2.198	-
764002286-stool1_revised_scaffold2496_2_gene45539	COG0215	COG0215.OTUcal.v2.1845	motu_linkage_group_206
159571453-stool2_revised_C1191928_1_gene134129	COG0215	COG0215.OTUcal.v2.2042	motu_linkage_group_334
702446.CUU_3409	COG0552	COG0552.OTUcal.v2.863	motu_linkage_group_170
763901136-stool1_revised_C1126003_1_gene146546	COG0552	COG0552.OTUcal.v2.1647	motu_linkage_group_95
501479.CSE45_1345	COG0215	COG0215.OTUcal.v2.644	-
764224817-stool2_revised_scaffold29200_5_gene2527	COG0172	COG0172.OTUcal.v2.862	motu_linkage_group_370
391597.LMED105_12807	COG0016	COG0016.OTUcal.v2.1484	-
208596.CAR_c24760	COG0215	COG0215.OTUcal.v2.328	-
391601.SSKA14_3392	COG0533	COG0533.OTUcal.v2.966	-
508765.CLL_A2452	COG0012	COG0012.OTUcal.v2.787	-
1127134.NOCYR_4540	COG0012	COG0012.OTUcal.v2.307	-
207954.MED92_16605	COG0533	COG0533.OTUcal.v2.546	-
MH0012_revised_C2559366_1_gene35553	COG0552	COG0552.OTUcal.v2.1869	motu_linkage_group_282
582402.Hbal_1401	COG0172	COG0172.OTUcal.v2.909	-
158499257-stool1_revised_C1446924_1_gene166159	COG0552	COG0552.OTUcal.v2.2055	-
765074482-stool2_revised_scaffold44594_1_gene161716	COG0012	COG0012.OTUcal.v2.1704	motu_linkage_group_225
406124.Bm3-1_010100000030	COG0172	COG0172.OTUcal.v2.997	-
MH0059_revised_scaffold84256_5_gene102204	COG0215	COG0215.OTUcal.v2.1790	motu_linkage_group_121
763901136-stool2_revised_scaffold21094_2_gene39469	COG0018	COG0018.OTUcal.v2.1956	motu_linkage_group_625
550534656-stool1_revised_scaffold2104_2_gene58831	COG0215	COG0215.OTUcal.v2.1155	motu_linkage_group_132
160582958-stool1_revised_scaffold9821_3_gene16299	COG0533	COG0533.OTUcal.v2.1912	-
634459.APA12_25480	COG0495	COG0495.OTUcal.v2.1625	-
763597684-stool1_revised_C1143330_1_gene75445	COG0495	COG0495.OTUcal.v2.1862	motu_linkage_group_224
698970.CDHC04_1451	COG0552	COG0552.OTUcal.v2.1268	-
471876.Spy49_1762	COG0018	COG0018.OTUcal.v2.721	-
159227541-stool3_revised_scaffold17892_1_gene100789	COG0525	COG0525.OTUcal.v2.1985	-
763840445-stool1_revised_scaffold1568_3_gene86920	COG0533	COG0533.OTUcal.v2.360	motu_linkage_group_100
1112856.MPNA0590	COG0533	COG0533.OTUcal.v2.102	-
MH0009_revised_scaffold7094_1_gene25114	COG0215	COG0215.OTUcal.v2.1941	motu_linkage_group_496
765560005-stool1_revised_scaffold9060_1_gene81690	COG0525	COG0525.OTUcal.v2.1944	motu_linkage_group_196
334380.OTT_0596	COG0016	COG0016.OTUcal.v2.1506	-
445334.CPC_1957	COG0541	COG0541.OTUcal.v2.745	-
809635352-stool1_revised_scaffold79967_1_gene122038	COG0172	COG0172.OTUcal.v2.1193	motu_linkage_group_405
763577454-stool2_revised_scaffold30998_1_gene81501	COG0495	COG0495.OTUcal.v2.669	motu_linkage_group_262
580340.Tlie_1327	COG0018	COG0018.OTUcal.v2.732	-
159611913-stool1_revised_C756566_1_gene70540	COG0552	COG0552.OTUcal.v2.1355	motu_linkage_group_271
MH0071_revised_scaffold45904_2_gene61666	COG0016	COG0016.OTUcal.v2.1721	motu_linkage_group_127
909945.SD3246_3452	COG0533	COG0533.OTUcal.v2.94	-
575788.VS_2559	COG0541	COG0541.OTUcal.v2.688	-
MH0060_revised_scaffold67844_2_gene76100	COG0541	COG0541.OTUcal.v2.1780	motu_linkage_group_121
768493.SerAS13_1934	COG0012	COG0012.OTUcal.v2.386	-
349123.Lreu23DRAFT_4073	COG0016	COG0016.OTUcal.v2.1207	-
903510.vfu_A02137	COG0016	COG0016.OTUcal.v2.114	-
391735.Veis_1035	COG0525	COG0525.OTUcal.v2.1495	-
873513.HMPREF6485_1981	COG0016	COG0016.OTUcal.v2.971	-
764487809-stool2_revised_scaffold3286_2_gene114382	COG0552	COG0552.OTUcal.v2.637	motu_linkage_group_196
228405.HNE_1676	COG0525	COG0525.OTUcal.v2.77	-
159632143-stool1_revised_C944915_1_gene24891	COG0018	COG0018.OTUcal.v2.1761	motu_linkage_group_136
V1.UC9-0_revised_scaffold12040_3_gene8150	COG0018	COG0018.OTUcal.v2.452	motu_linkage_group_155
1031711.RSPO_c01194	COG0525	COG0525.OTUcal.v2.531	-
59374.FSU_2969	COG0541	COG0541.OTUcal.v2.700	-
1006007.BMWSH_4989	COG0533	COG0533.OTUcal.v2.821	-
525246.HMPREF0058_1723	COG0552	COG0552.OTUcal.v2.798	-
525246.HMPREF0058_1727	COG0541	COG0541.OTUcal.v2.796	-
344610.Ec53638_0672	COG0495	COG0495.OTUcal.v2.940	motu_linkage_group_607
1004951.SSUST1_1668	COG0172	COG0172.OTUcal.v2.760	-
765034022-stool1_revised_scaffold10943_2_gene3470	COG0495	COG0495.OTUcal.v2.1841	motu_linkage_group_115
357804.Ping_1666	COG0172	COG0172.OTUcal.v2.1427	-
MH0014_revised_scaffold371_14_gene107	COG0541	COG0541.OTUcal.v2.1763	motu_linkage_group_260
644282.Deba_0941	COG0533	COG0533.OTUcal.v2.1488	-
439843.SeSA_A1432	COG0016	COG0016.OTUcal.v2.95	-
242231.NGO0063	COG0012	COG0012.OTUcal.v2.654	-
MH0017_revised_scaffold2481_53_gene43423	COG0012	COG0012.OTUcal.v2.1741	motu_linkage_group_104
344610.Ec53638_4563	COG0012	COG0012.OTUcal.v2.923	motu_linkage_group_607
888833.HMPREF9961_0084	COG0525	COG0525.OTUcal.v2.414	-
764588959-stool1_revised_scaffold15178_2_gene46306	COG0172	COG0172.OTUcal.v2.1880	motu_linkage_group_497
160319967-stool1_revised_C551026_1_gene101537	COG0541	COG0541.OTUcal.v2.1433	motu_linkage_group_338
763840445-stool2_revised_scaffold54112_1_gene59917	COG0533	COG0533.OTUcal.v2.1805	motu_linkage_group_431
553175.POREN0001_0449	COG0525	COG0525.OTUcal.v2.931	-
257311.BPP2598	COG0016	COG0016.OTUcal.v2.1589	-
765013792-stool1_revised_C395597_1_gene9558	COG0552	COG0552.OTUcal.v2.1801	motu_linkage_group_225
207949.RED65_15953	COG0018	COG0018.OTUcal.v2.1327	-
443218.AS9A_1503	COG0016	COG0016.OTUcal.v2.1058	-
351627.Csac_0708	COG0215	COG0215.OTUcal.v2.535	-
671076.VMD_18000	COG0172	COG0172.OTUcal.v2.1	-
469613.HMPREF0864_03770	COG0552	COG0552.OTUcal.v2.851	-
702452.NT04LS_1374	COG0016	COG0016.OTUcal.v2.1564	-
508767.CLH_2274	COG0525	COG0525.OTUcal.v2.794	-
89187.ISM_03510	COG0012	COG0012.OTUcal.v2.1128	-
446471.Xcel_2223	COG0495	COG0495.OTUcal.v2.523	-
764669880-stool2_revised_scaffold202_1_gene60533	COG0172	COG0172.OTUcal.v2.1354	motu_linkage_group_299
MH0025_revised_scaffold60965_1_gene47023	COG0552	COG0552.OTUcal.v2.357	motu_linkage_group_100
444157.Tneu_1611	COG0172	COG0172.OTUcal.v2.829	-
444157.Tneu_1616	COG0012	COG0012.OTUcal.v2.829	-
196627.cg3201	COG0172	COG0172.OTUcal.v2.1560	-
1006007.BMWSH_1009	COG0552	COG0552.OTUcal.v2.819	-
159268001-stool1_revised_scaffold47263_1_gene158563	COG0552	COG0552.OTUcal.v2.1339	motu_linkage_group_323
499176.CdifC_020200005942	COG0541	COG0541.OTUcal.v2.1353	-
324925.Ppha_2381	COG0525	COG0525.OTUcal.v2.717	-
319224.Sputcn32_1167	COG0541	COG0541.OTUcal.v2.855	-
159611913-stool2_revised_scaffold3391_4_gene20928	COG0533	COG0533.OTUcal.v2.867	motu_linkage_group_170
765074482-stool2_revised_scaffold45317_1_gene85191	COG0525	COG0525.OTUcal.v2.1069	motu_linkage_group_396
1010838.MAPs_35820	COG0018	COG0018.OTUcal.v2.1670	-
763860675-stool1_revised_scaffold54758_3_gene81719	COG0552	COG0552.OTUcal.v2.2004	motu_linkage_group_703
882102.VAA_01093	COG0495	COG0495.OTUcal.v2.544	-
656444.ECNG_04828	COG0495	COG0495.OTUcal.v2.940	motu_linkage_group_607
585055.EC55989_3479	COG0533	COG0533.OTUcal.v2.933	motu_linkage_group_607
862964.HIB_01640	COG0541	COG0541.OTUcal.v2.137	-
743965.MPUT_0051	COG0215	COG0215.OTUcal.v2.158	-
416276.RMA_0598	COG0016	COG0016.OTUcal.v2.839	-
742767.HMPREF9456_01367	COG0215	COG0215.OTUcal.v2.91	-
V1.CD2-0_revised_scaffold13502_7_gene14438	COG0215	COG0215.OTUcal.v2.143	motu_linkage_group_137
MH0012_revised_scaffold77059_6_gene220832	COG0016	COG0016.OTUcal.v2.1734	motu_linkage_group_135
525377.HMPREF0790_1207	COG0215	COG0215.OTUcal.v2.342	-
796620.VIBC2010_01643	COG0541	COG0541.OTUcal.v2.227	-
1036674.A28LD_2133	COG0541	COG0541.OTUcal.v2.1333	-
526982.bcere0018_35640	COG0552	COG0552.OTUcal.v2.767	-
760142.Hipma_0943	COG0215	COG0215.OTUcal.v2.753	-
159510762-stool2_revised_scaffold19424_2_gene85912	COG0172	COG0172.OTUcal.v2.1907	motu_linkage_group_373
765034022-stool1_revised_C503669_1_gene5584	COG0172	COG0172.OTUcal.v2.1699	motu_linkage_group_238
159247771-stool1_revised_scaffold7590_2_gene83625	COG0016	COG0016.OTUcal.v2.1611	motu_linkage_group_109
MH0082_revised_scaffold14245_5_gene19597	COG0016	COG0016.OTUcal.v2.1826	motu_linkage_group_85
322098.AYWB_133	COG0016	COG0016.OTUcal.v2.969	-
159227541-stool2_revised_scaffold19813_1_gene103541	COG0525	COG0525.OTUcal.v2.663	motu_linkage_group_262
159632143-stool1_revised_scaffold43100_1_gene116784	COG0495	COG0495.OTUcal.v2.2150	-
398580.Dshi_0954	COG0012	COG0012.OTUcal.v2.597	-
640132.Srot_1795	COG0016	COG0016.OTUcal.v2.1165	-
262727.R2846_0873	COG0525	COG0525.OTUcal.v2.1725	-
765094712-stool2_revised_scaffold8283_1_gene83840	COG0541	COG0541.OTUcal.v2.1768	motu_linkage_group_437
904749.SA21269_0787	COG0525	COG0525.OTUcal.v2.1323	-
528351.NGNG_00412	COG0018	COG0018.OTUcal.v2.1666	-
765064.HMPREF9344_01252	COG0016	COG0016.OTUcal.v2.467	-
289397.MBOVPG45_0415	COG0533	COG0533.OTUcal.v2.413	-
509191.AcelC_020100005603	COG0018	COG0018.OTUcal.v2.1646	-
O2.UC13-0_revised_scaffold6259_1_gene18426	COG0016	COG0016.OTUcal.v2.2110	-
MH0075_revised_scaffold19899_1_gene56666	COG0012	COG0012.OTUcal.v2.1761	motu_linkage_group_127
158479027-stool1_revised_scaffold27054_1_gene88848	COG0016	COG0016.OTUcal.v2.1868	motu_linkage_group_301
765057.HMPREF9337_00029	COG0172	COG0172.OTUcal.v2.464	-
764002286-stool1_revised_scaffold274_1_gene108901	COG0525	COG0525.OTUcal.v2.358	motu_linkage_group_100
MH0013_revised_scaffold27208_1_gene15128	COG0012	COG0012.OTUcal.v2.2073	motu_linkage_group_51
764669880-stool2_revised_C346882_1_gene193	COG0215	COG0215.OTUcal.v2.1860	motu_linkage_group_118
644651.EPYR_02768	COG0215	COG0215.OTUcal.v2.709	-
V1.UC7-0_revised_scaffold8425_1_gene35925	COG0012	COG0012.OTUcal.v2.863	motu_linkage_group_370
O2.UC11-0_revised_scaffold20560_1_gene24397	COG0552	COG0552.OTUcal.v2.1886	motu_linkage_group_164
763577454-stool1_revised_scaffold10947_2_gene71977	COG0018	COG0018.OTUcal.v2.861	motu_linkage_group_170
MH0031_revised_scaffold3057_3_gene18682	COG0541	COG0541.OTUcal.v2.1962	motu_linkage_group_7
290317.Cpha266_2392	COG0215	COG0215.OTUcal.v2.1216	-
592031.GCWU000322_00991	COG0016	COG0016.OTUcal.v2.1476	-
452637.Oter_2836	COG0541	COG0541.OTUcal.v2.53	-
V1.UC6-0_revised_scaffold87028_3_gene39275	COG0552	COG0552.OTUcal.v2.2102	motu_linkage_group_101
592031.GCWU000322_00995	COG0018	COG0018.OTUcal.v2.1452	-
596328.HMPREF0578_0551	COG0541	COG0541.OTUcal.v2.956	-
MH0054_revised_scaffold11809_6_gene19840	COG0012	COG0012.OTUcal.v2.2046	motu_linkage_group_621
552398.HMPREF0866_01970	COG0215	COG0215.OTUcal.v2.89	-
339671.Asuc_1421	COG0016	COG0016.OTUcal.v2.1299	-
566552.BIFCAT_00286	COG0525	COG0525.OTUcal.v2.1708	-
575609.HMPREF0629_01144	COG0172	COG0172.OTUcal.v2.222	-
763901136-stool2_revised_scaffold33557_1_gene47648	COG0541	COG0541.OTUcal.v2.663	motu_linkage_group_262
428125.CLOLEP_02484	COG0525	COG0525.OTUcal.v2.850	motu_linkage_group_640
765034022-stool1_revised_scaffold6920_1_gene35606	COG0016	COG0016.OTUcal.v2.1720	motu_linkage_group_225
629270.PSYAR_20163	COG0012	COG0012.OTUcal.v2.1085	-
864567.HMPREF8571_0365	COG0495	COG0495.OTUcal.v2.1253	-
764143897-stool1_revised_scaffold28215_1_gene103643	COG0012	COG0012.OTUcal.v2.1746	motu_linkage_group_456
428128.EUBSIR_02111	COG0525	COG0525.OTUcal.v2.1587	motu_linkage_group_372
262724.TTC0674	COG0541	COG0541.OTUcal.v2.399	-
366602.Caul_2150	COG0525	COG0525.OTUcal.v2.569	-
439483.CBGD1_2643	COG0552	COG0552.OTUcal.v2.974	-
633145.DehalGT_0371	COG0525	COG0525.OTUcal.v2.690	-
159510762-stool1_revised_scaffold1721_1_gene19134	COG0012	COG0012.OTUcal.v2.1585	motu_linkage_group_109
373384.SFV_1914	COG0018	COG0018.OTUcal.v2.927	motu_linkage_group_607
393127.LMLG_0246	COG0012	COG0012.OTUcal.v2.618	-
160319967-stool1_revised_C567206_1_gene76907	COG0525	COG0525.OTUcal.v2.1782	motu_linkage_group_284
160400887-stool1_revised_scaffold13560_1_gene67546	COG0018	COG0018.OTUcal.v2.840	motu_linkage_group_178
205921.SAK_0853	COG0552	COG0552.OTUcal.v2.1070	-
580331.Thit_0540	COG0533	COG0533.OTUcal.v2.521	-
765620695-stool1_revised_scaffold29007_4_gene127345	COG0016	COG0016.OTUcal.v2.813	motu_linkage_group_591
89187.ISM_02265	COG0495	COG0495.OTUcal.v2.1160	-
471871.CLOSPO_00019	COG0172	COG0172.OTUcal.v2.553	-
1000565.METUNv1_00354	COG0215	COG0215.OTUcal.v2.169	-
326298.Suden_1667	COG0172	COG0172.OTUcal.v2.1632	-
