PATID00001	LMOh7858_0068
PATID00912	SEN2726
PATID00913	Lm4b_00718
PATID00914	Rv1661
PATID00915	STM474_3892
PATID00916	CP0148
PATID00917	Rv1640c
PATID00918	CP0136
PATID00919	STM474_2170
PATID00920	MAV_4012
PATID00921	lmo1956
PATID00922	SL1344_4196
PATID00923	SL1344_1349
PATID00924	ERDMAN_0514
PATID00925	Z2144
PATID00926	Rv3820c
PATID00927	Rv2383c
PATID00928	Rv0251c
PATID00929	STM0776
PATID00930	STM2323.S
PATID00931	STM2083
PATID00932	SL1344_1520
PATID00933	Rv0902c
PATID00934	STM14_2591
PATID00935	BH13280
PATID00936	MRA_0910
PATID00937	VBILisMon5687_0963
PATID00938	S1322
PATID00939	lmo2694
PATID00940	lmo1003
PATID00941	c3690
PATID00942	lmo1786
PATID00943	SL1344_2076
PATID00944	lmo0433
PATID00945	Rv2937
PATID00946	SFK218_2876
PATID00947	CP0046
PATID00948	STM1959
PATID00949	STM14_1400
PATID00950	Rv1939
PATID00951	Rv3649
PATID00952	STM1141
PATID00953	Btr_1701
PATID00954	Lmon1_020100011025
PATID00955	Rv3484
PATID00956	E2348C_3939
PATID00957	Z5142
PATID00958	STM474_1300
PATID00959	Z4318
PATID00960	lmo1683
PATID00961	Rv2388c
PATID00962	LIV_1188
PATID00963	t4352
PATID00964	E2348C_3933
PATID00965	Rv1422
PATID00966	SEN3535
PATID00967	Lmon1_020100006893
PATID00968	Z5905
PATID00969	SL1344_2854
PATID00970	STM14_1306
PATID00971	Z3200
PATID00972	VBIShiFle211407_1879
PATID00973	Rv3781
PATID00974	MMAR_1772
PATID00975	STM1855
PATID00976	APECO1_O1CoBM141
PATID00977	Rv3868
PATID00978	EC042_pAA071
PATID00979	SL1344_1598
PATID00980	Lmon1_020100003692
PATID00981	Z0275
PATID00982	Rv2445c
PATID00983	Rv1798
PATID00984	STM14_1687
PATID00985	STM474_0892
PATID00986	Rv1524
PATID00987	SF2968
PATID00988	Z2702
PATID00989	Rv3080c
PATID00990	SL1344_4117
PATID00991	Rv3236c
PATID00992	Rv3042c
PATID00993	S2725
PATID00994	Z0360
PATID00995	Rv3882c
PATID00996	Rv0326
PATID00997	c4914
PATID00998	Rv2934
PATID00999	Rv1236
PATID01000	Rv3286c
PATID01001	SEN1149
PATID01002	Rv1204c
PATID01003	Rv1002c
PATID01004	b3139
PATID01005	STM14_5016
PATID01006	STM474_3165
PATID01007	BWG_0838
PATID01008	SL1344_2939
PATID01009	SL1344_2859
PATID01010	APECO1_2093
PATID01011	c4719
PATID01012	Z4251
PATID01013	PSLT009
PATID01014	lmo1377
PATID01015	lmo1445
PATID01016	c5397
PATID01017	Z1129
PATID01018	Rv2885c
PATID01019	STM3502
PATID01020	b2095
PATID01021	SL1344_2342
PATID01022	Z1464
PATID01023	SEN3580
PATID01024	Rv0153c
PATID01025	STM14_0530
PATID01026	VBIBarTri113218_0083
PATID01027	Rv1560
PATID01028	STM474_4130
PATID01029	Rv0180c
PATID01030	CP0123
PATID01031	Lmon1_020100004397
PATID01032	lmo1269
PATID01033	Rv3084
PATID01034	STY4654
PATID01035	STM14_4260
PATID01036	Rv3151
PATID01037	Rv3258c
PATID01038	Rv2069
PATID01039	Btr_0181
PATID01040	MMAR_2676
PATID01041	SL1344_1766
PATID01042	STMUK_1299
PATID01043	VBIMycTub147007_3262
PATID01044	ERDMAN_2965
PATID01045	E2348C_3940
PATID01046	Z2550
PATID01047	SL1344_4415
PATID01048	STM474_0647
PATID01049	Rv3763
PATID01050	STM0548
PATID01051	Rv0757
PATID01052	Z5108
PATID01053	SL1344_3908
PATID01054	E2348C_3948
PATID01055	STM14_2578
PATID01056	SL1344_2113
PATID01057	lmo0043
PATID01058	Lmon1_020100003687
PATID01059	STM474_3770
PATID01060	MT0191
PATID01061	Rv3758c
PATID01062	Rv3545c
PATID01063	Rv3534c
PATID01064	c3520
PATID01065	Rv0098
PATID01066	SF0050
PATID01067	Z3013
PATID01068	SL1344_2059
PATID01069	lmo1771
PATID01070	Rv0677c
PATID01071	SL1344_1599
PATID01072	MT3487
PATID01073	Rv0168
PATID01074	STM14_1701
PATID01075	STM14_3475
PATID01076	ERDMAN_2019
PATID01077	ERDMAN_3222
PATID01078	lmo0262
PATID01079	Rv3869
PATID01080	Rv1931c
PATID01081	MMAR_5368
PATID01082	LMOf2365_0859
PATID01083	Rv1908c
PATID01084	MAP3025c
PATID01085	lmo2588
PATID01086	STM1409
PATID01087	CP0132
PATID01088	SF3931
PATID01089	CP0142
PATID01090	STM474_0790
PATID01091	Rv2472
PATID01092	MT0269
PATID01093	Rv1323
PATID01094	STMUK_2884
PATID01095	Rv2335
PATID01096	lmo1695
PATID01097	STM4059
PATID01098	Rv0202c
PATID01099	Rv1783
PATID01100	t3802
