#Family	cazy-note	ncbi-cdd	cazy-class	cazy-activities
GH83		pfam00423	GH	neuraminidase (EC 3.2.1.18)
GT31		pfam01762	GT	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase (EC 2.4.1.149); Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase (EC 2.4.1.122); fucose-specific beta-1,3-N-acetylglucosaminyltransferase (EC 2.4.1.-); globotriosylceramide beta-1,3-GalNAc transferase (EC 2.4.1.79); chondroitin synthase (beta-1,3-GlcUA and beta-1,4-GalNAc transferase (EC 2.4.1.175); chondroitin beta-1,3-glucuronyltransferase (EC 2.4.1.226); chondroitin beta-1,4-N-acetylgalactosaminyltransferase (EC 2.4.1.-).
GH54		pfam09206	GH	alpha-L-arabinofuranosidase (EC 3.2.1.55); beta-xylosidase (EC 3.2.1.37).
GT13		pfam03071	GT	alpha-1,3-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase (EC 2.4.1.101)
GH27	Mechanistic commonality with family GH36 demonstrated by Comfort et al. (2007) Biochemistry 46:3319-3330 (PMID: 17323919).	pfam02065	GH	alpha-galactosidase (EC 3.2.1.22); alpha-N-acetylgalactosaminidase (EC 3.2.1.49); isomalto-dextranase (EC 3.2.1.94); beta-L-arabinopyranosidase (EC 3.2.1.88)
CE10	WARNING: because the vast majority (if not all) of the members of this family are esterases acting on non-carbohydrate substrates, the information on this page is no longer updated (August 2002).	COG0657	CE	arylesterase (EC 3.1.1.-);  carboxyl esterase (EC 3.1.1.3); acetylcholinesterase (EC 3.1.1.7); cholinesterase (EC 3.1.1.8); sterol esterase (EC 3.1.1.13); brefeldin A esterase (EC 3.1.1.-).
GT61		pfam04577	GT	beta-1,2-xylosyltransferase (EC 2.4.2.38)
GH50		self-built	GH	beta-agarase (EC 3.2.1.81).
GH35		pfam01301	GH	beta-galactosidase (EC 3.2.1.23); exo-beta-glucosaminidase (EC 3.2.1.165)
GT10		pfam00852	GT	galactoside alpha-1,3/1,4-L-fucosyltransferase (EC 2.4.1.65); galactoside alpha-1,3-L-fucosyltransferase (EC 2.4.1.152); glycoprotein alpha-1,3-L-fucosyltransferase (EC 2.4.1.214)
GT4		pfam00534	GT	sucrose synthase (EC 2.4.1.13); sucrose-phosphate synthase (EC 2.4.1.14); alpha-glucosyltransferase (EC 2.4.1.52); lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); GDP-Man alpha-mannosyltransferase (EC 2.4.1.-); 1,2-diacylglycerol 3-glucosyltransferase (EC 2.4.1.157);  diglucosyl diacylglycerol synthase (EC 2.4.1.208); digalactosyldiacylglycerol synthase (EC 2.4.1.141); trehalose phosphorylase (EC 2.4.1.231); phosphatidylinositol alpha-mannosyltransferase (EC 2.4.1.57); UDP-Gal alpha-galactosyltransferase (EC 2.4.1.-); UDP-Xyl alpha-xylosyltransferase (EC 2.4.2.-)
CBM25	Formerly known as X5 modules; structurally related to CBM26 modules	pfam03423	CBM	Starch-binding function demonstrated in one case.
GH5	formerly known as cellulase family A; Following a recent paper by St John et al. (FEBS Letters, 2010, in press) several GH5 subfamilies have been reassigned to GH30.	pfam00150	GH	chitosanase (EC 3.2.1.132); beta-mannosidase (EC 3.2.1.25); Cellulase (EC 3.2.1.4); glucan 1,3-beta-glucosidase (EC 3.2.1.58); licheninase (EC 3.2.1.73); glucan endo-1,6-beta-glucosidase (EC 3.2.1.75); mannan endo-beta-1,4-mannosidase (EC 3.2.1.78); endo-beta-1,4-xylanase (EC 3.2.1.8); cellulose beta-1,4-cellobiosidase (EC 3.2.1.91); beta-1,3-mannanase (EC 3.2.1.-); xyloglucan-specific endo-beta-1,4-glucanase (EC 3.2.1.151); mannan transglycosylase (EC 2.4.1.-); endo-beta-1,6-galactanase (EC 3.2.1.164)
GH43		pfam04616	GH	beta-xylosidase (EC 3.2.1.37); beta-1,3-xylosidase (EC 3.2.1.-); alpha-L-arabinofuranosidase (EC 3.2.1.55); arabinanase (EC 3.2.1.99); xylanase (EC 3.2.1.8); galactan 1,3-beta-galactosidase  (EC 3.2.1.145)
GT84	Distantly related to family GT2; created after Ciocchini et al. (2006) Glycobiology 16:679-691 (PMID: 16603625)	pfam10091	GT	cyclic beta-1,2-glucan synthase (EC 2.4.1.-);
GH13	New: many members have been assigned to subfamilies as described by Stam et al. (2006) Protein Eng Des Sel. 19, 555-562 (PMID: 17085431)	pfam00128	GH	alpha-amylase (EC 3.2.1.1); pullulanase (EC 3.2.1.41); cyclomaltodextrin glucanotransferase (EC 2.4.1.19); cyclomaltodextrinase (EC 3.2.1.54); trehalose-6-phosphate hydrolase (EC 3.2.1.93); oligo-alpha-glucosidase (EC 3.2.1.10); maltogenic amylase (EC 3.2.1.133); neopullulanase (EC 3.2.1.135); alpha-glucosidase (EC 3.2.1.20); maltotetraose-forming alpha-amylase (EC 3.2.1.60); isoamylase (EC 3.2.1.68); glucodextranase (EC 3.2.1.70); maltohexaose-forming alpha-amylase (EC 3.2.1.98); maltotriose-forming alpha-amylase (EC 3.2.1.116); branching enzyme (EC 2.4.1.18); trehalose synthase (EC 5.4.99.16); 4-alpha-glucanotransferase (EC 2.4.1.25); maltopentaose-forming alpha-amylase (EC 3.2.1.-) ; amylosucrase (EC 2.4.1.4) ; sucrose phosphorylase (EC 2.4.1.7); malto-oligosyltrehalose trehalohydrolase (EC 3.2.1.141); isomaltulose synthase (EC 5.4.99.11); amino acid transporter.
GH74		smart00602	GH	endoglucanase (EC 3.2.1.4); oligoxyloglucan reducing end-specific cellobiohydrolase (EC 3.2.1.150); xyloglucanase (EC 3.2.1.151)
CE6		pfam03629	CE	acetyl xylan esterase (EC 3.1.1.72).
GH42	Identification of the catalytic residues in doi:10.1016/j.febslet.2007.04.053	pfam02449	GH	beta-galactosidase (EC 3.2.1.23)
GH108	Created after Emina A. Stojkoviae and Lucia B. Rothman-Denes (2007) J. Mol. Biol. 366:406-419. PMID:17174325	pfam05838	GH	N-acetylmuramidase (EC 3.2.1.17)
GT27	Distant similarity to families GT2, GT12 and GT21	cd02510	GT	polypeptide alpha-N-acetylgalactosaminyltransferase (EC 2.4.1.41)
CBM5	Previously known as cellulose-binding domain family V (CBD V).	pfam02839	CBM	Modules of approx. 60 residues found in bacterial enzymes. Chitin-binding described in several cases. Distantly related to the CBM12 family.
GT3		pfam05693	GT	glycogen synthase (EC 2.4.1.11).
GT6		pfam03414	GT	alpha-1,3-galactosyltransferase (EC 2.4.1.87); alpha-1,3 N-acetylgalactosaminyltransferase (EC 2.4.1.40); alpha-galactosyltransferase (EC 2.4.1.37); globoside alpha-N-acetylgalactosaminyltransferase (EC 2.4.1.88).
GH79		self-built	GH	beta-glucuronidase (EC 3.2.1.31); beta-4-O-methyl-glucuronidase (EC 3.2.1.-); heparanase (EC 3.2.1.-); baicalin beta-glucuronidase (EC 3.2.1.167)
CBM21		pfam03370	CBM	Modules of approx. 100 residues. The granular starch-binding function has been demonstrated in one case. Sometimes designated as starch-binding domains (SBD).
GT32		pfam04488	GT	alpha-1,6-mannosyltransferase (EC 2.4.1.-); alpha-1,4-N-acetylglucosaminyltransferase (EC 2.4.1.-); alpha-1,4-N-acetylgalactosaminyltransferase (EC 2.4.1.-);
GH63		PRK10137	GH	processing alpha-glucosidase (EC 3.2.1.106); alpha-1,3-glucosidase (EC 3.2.1.84); alpha-glucosidase (EC 3.2.1.20)
GT11		pfam01531	GT	GDP-L-Fuc: galactoside alpha-1,2-L-fucosyltransferase (EC 2.4.1.69); GDP-L-Fuc: beta-LacNac alpha-1,3-L-fucosyltransferase (EC 2.4.1.-)
GT67	Activity shown by Dobson et al. (2003) J Biol Chem. 278:15523-15531	PTZ00210	GT	UDP-Gal: phosphoglycan betalpha-1,3 galactosyltransferase 1 (SCG1) (EC 2.4.1.-)
GH26	formerly known as cellulase family I.	pfam02156	GH	beta-mannanase (EC 3.2.1.78); beta-1,3-xylanase (EC 3.2.1.32)
CBM33		pfam03067	CBM	Binding to chitin has been demonstrated in several cases and binding to chitosan descibed in a single case.
GH28		pfam00295	GH	polygalacturonase (EC 3.2.1.15); exo-polygalacturonase (EC 3.2.1.67); exo-polygalacturonosidase (EC 3.2.1.82); rhamnogalacturonase (EC 3.2.1.-); endo-xylogalacturonan hydrolase (EC 3.2.1.-); rhamnogalacturonan alpha-L-rhamnopyranohydrolase (EC 3.2.1.40)
GT25		pfam01755	GT	lipopolysaccharide beta-1,4-galactosyltransferase (EC 2.4.1.-); beta-1,3-glucosyltransferase (EC 2.4.1.-); beta-1,2-glucosyltransferase (EC 2.4.1.-); beta-1,2-galactosyltransferase (EC 2.4.1.-)
GH73	The 3-D structure of Sphingomonas sp. strain A1 FlgJ protein of this family has recently been solved (Hashimotoa et al., BBRC 2009, in press); there is only one, unconfirmed, report of b-1,4-N-acetylmuramoylhydrolase (EC 3.2.1.17) activity	pfam01832	GH	peptidoglycan hydrolase with endo-beta-N-acetylglucosaminidase specificity  (EC 3.2.1.-)
GH33		cd00260	GH	sialidase or neuraminidase (EC 3.2.1.18); trans-sialidase (EC 2.4.1.-); 2-keto-3-deoxynononic acid sialidase (EC 3.2.1.-)
GH55		self-built	GH	exo-beta-1,3-glucanase (EC 3.2.1.58); endo-beta-1,3-glucanase (EC 3.2.1.39).
GH6	formerly known as cellulase family B.   The  cellobiohydrolases of  this  family are widely believed to act processively from the non-reducing  ends of  cellulose chains to  generate cellobiose.	pfam01341	GH	endoglucanase (EC 3.2.1.4); cellobiohydrolase (EC 3.2.1.91)
CBM14		pfam01607	CBM	Modules of approx. 70 residues. The chitin-binding function has been demonstrated in several cases. These modules are found attached to a number of chitinase catalytic domains, but also in non-catalytic proteins either in isolation or as multiple repeats.
GH10	formerly known as cellulase family F.	pfam00331	GH	endo-1,4-beta-xylanase (EC 3.2.1.8); endo-1,3-beta-xylanase (EC 3.2.1.32)
CE4		pfam01522	CE	acetyl xylan esterase (EC 3.1.1.72);  chitin deacetylase (EC 3.5.1.41); chitooligosaccharide deacetylase (EC 3.5.1.-); peptidoglycan GlcNAc deacetylase (EC 3.5.1.-); peptidoglycan N-acetylmuramic acid deacetylase (EC 3.5.1.-).
PL1		smart00656	PL	pectate lyase (EC 4.2.2.2); exo-pectate lyase (EC 4.2.2.9); pectin lyase (EC 4.2.2.10).
CBM3	Previously known as cellulose-binding domain family III (CBD III).	pfam00942	CBM	Modules of approx. 150 residues found in bacterial enzymes. The cellulose-binding function has been demonstrated in many cases. In one instance binding to chitin has been reported.
GH3		pfam00933	GH	beta-glucosidase (EC 3.2.1.21); xylan 1,4-beta-xylosidase (EC 3.2.1.37); beta-N-acetylhexosaminidase (EC 3.2.1.52); glucan 1,3-beta-glucosidase (EC 3.2.1.58); glucan 1,4-beta-glucosidase (EC 3.2.1.74); exo-1,3-1,4-glucanase (EC 3.2.1.-); alphalpha-L-arabinofuranosidase (EC 3.2.1.55).
GT28	Distantly related to family GT1	pfam04101	GT	1,2-diacylglycerol 3-beta-galactosyltransferase (EC 2.4.1.46); 1,2-diacylglycerol 3-beta-glucosyltransferase (EC 2.4.1.157);  UDP-GlcNAc: Und-PP-MurAc-pentapeptide beta-N-acetylglucosaminyltransferase (EC 2.4.1.227).
GT30	These enzymes use a nucleotide monophosphosugar as the donor (CMP-b-KDO) instead of a nucleotide diphosphosugar	pfam04413	GT	CMP-beta-KDO: alpha-3-deoxy-D-manno-octulosonic-acid (KDO) transferase (EC 2.4.99.-).
GH32		pfam00251	GH	invertase (EC 3.2.1.26); endo-inulinase (EC 3.2.1.7); beta-2,6-fructan 6-levanbiohydrolase (EC 3.2.1.64); endo-levanase (EC 3.2.1.65); exo-inulinase (EC 3.2.1.80); fructan beta-(2,1)-fructosidase/1-exohydrolase (EC 3.2.1.153); fructan beta-(2,6)-fructosidase/6-exohydrolase (EC 3.2.1.154); sucrose:sucrose 1-fructosyltransferase (EC 2.4.1.99); fructan:fructan 1-fructosyltransferase (EC 2.4.1.100); sucrose:fructan 6-fructosyltransferase (EC 2.4.1.10); fructan:fructan 6G-fructosyltransferase (EC 2.4.1.243); levan fructosyltransferase (EC 2.4.1.-)
GT29	These enzymes use CMP-beta-N-acetylneuraminate as the sugar donor	pfam00777	GT	sialyltransferase (EC 2.4.99.-); beta-galactoside alpha-2,6-sialyltransferase (EC 2.4.99.1); alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase (EC 2.4.99.3); beta-galactoside alpha-2,3-sialyltransferase (EC 2.4.99.4); N-acetyllactosaminide alpha-2,3-sialyltransferase (EC 2.4.99.6); (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase (EC 2.4.99.7);  alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase (EC 2.4.99.8); lactosylceramide alpha-2,3-sialyltransferase (EC 2.4.99.9).
CBM18		smart00270	CBM	Modules of approx. 40 residues. The chitin-binding function has been demonstrated in many cases. These modules are found attached to a number of chitinase catalytic domains, but also in non-catalytic proteins either in isolation or as multiple repeats.
CBM34	Formerly known as X21 modules.	cd02857	CBM	Modules of approx. 120 residues. Granular starch-binding function has been demonstrated in the case of Thermoactinomyces vulgaris R-47 alpha-amylase 1 (TVAI).
GT47	The long animal heparan synthases are made of two domains. The N-terminal domain, which adds b-1,4-GlcA residues, belongs to family GT47 while the C-terminal domain, which adds a-1,4-GlcNAc residues, belongs to family GT64. The plant homologs, which have a single domain, display various specificities ranging from xyloglucan b-galactosyltransferase to a pectin b-glucuronyltransferase and arabinan a-L-arabinosyltransferase.	pfam03016	GT	heparan beta-glucuronyltransferase (EC 2.4.1.225); xyloglucan beta-galactosyltransferase (EC 2.4.1.-); heparan synthase (EC 2.4.1.-); arabinan alphalpha-L-arabinosyltransferase (EC 2.4.2.-).
GT26		pfam03808	GT	UDP-ManNAcA: beta-N-acetyl mannosaminuronyltransferase (EC 2.4.1.-); UDP-ManNAc: beta-N-acetyl-mannosaminyltransferase (EC 2.4.1.-); UDP-Glc: beta-1,4-glucosyltransferase (EC 2.4.1.-).
GH2		COG3250	GH	beta-galactosidase (EC 3.2.1.23) ; beta-mannosidase (EC 3.2.1.25); beta-glucuronidase (EC 3.2.1.31); mannosylglycoprotein endo-beta-mannosidase (EC 3.2.1.152); exo-beta-glucosaminidase (EC 3.2.1.165)
GH12	formerly known as cellulase family H.	pfam01670	GH	endoglucanase (EC 3.2.1.4); xyloglucan hydrolase (EC 3.2.1.151); beta-1,3-1,4-glucanase (EC 3.2.1.73); xyloglucan endotransglycosylase (EC 2.4.1.207)
GT14		pfam02485	GT	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase (EC 2.4.1.102); N-acetyllactosaminide beta-1,6-N-acetylglucosaminyltransferase (EC 2.4.1.150); protein O-beta-xylosyltransferase (EC 2.4.2.26)
GH102	Corresponds to family 2 of the peptidoglycan lytic transglycosylases described by N.T. Blackburn and A.J. Clarke (2001) J. Mol. Evol. 52, 78-84	pfam03562	GH	peptidoglycan lytic transglycosylase (EC 3.2.1.-)
GH4	The enzymes in this family display an unusual mechanism involving NAD+.	pfam02056	GH	maltose-6-phosphate glucosidase (EC 3.2.1.122); alpha-glucosidase (EC 3.2.1.20); alpha-galactosidase (EC 3.2.1.22); 6-phospho-beta-glucosidase (EC 3.2.1.86); alpha-glucuronidase (EC 3.2.1.139).
GT39	These enzymes use dolichol-P-mannose (b-linked) as the sugar donor.	pfam02366	GT	Dol-P-Man: protein alpha-mannosyltransferase (EC 2.4.1.109)
GT66	These enzymes utilise an oligosaccharide-PP-dolichol as the donor	pfam02516	GT	Dol-PP-alpha-oligosaccharide: protein beta-oligosaccharyltransferase (EC 2.4.1.119)
CBM43	Created after Barral, Suarez, Batanero, Alfonso, Alche, Rodríguez-García, Villalba, Rivas and Rodríguez (2005) Biochem. J. 390, 77-84 (PMID: 15882149). Formerly known as X8 modules.	pfam07983	CBM	Modules of approx. 90-100 residues found at the C-terminus of GH17 or GH72 enzymatic modules and also sometimes isolated. CBM43 modules sometimes carry a C-terminal membrane anchor. The beta-1,3-glucan binding function has been demonstrated with the olive pollen protein Ole e 10.
GH11	formerly known as cellulase family G	pfam00457	GH	xylanase (EC 3.2.1.8)
CBM2	Previously known as cellulose-binding domain family II (CBD II).	pfam00553	CBM	Modules of approx. 100 residues and which are found in a large number of bacterial enzymes. The cellulose-binding function has been demonstrated in many cases. Several of these modules have been shown to also bind chitin or xylan.
GH8	formerly known as cellulase family D	pfam01270	GH	chitosanase (EC 3.2.1.132); cellulase (EC 3.2.1.4); licheninase (EC 3.2.1.73); endo-1,4-beta-xylanase (EC 3.2.1.8); reducing-end-xylose releasing exo-oligoxylanase (EC 3.2.1.156)
GH20		pfam00728	GH	beta-hexosaminidase (EC 3.2.1.52); lacto-N-biosidase (EC 3.2.1.140); beta-1,6-N-acetylglucosaminidase) (EC 3.2.1.-); beta-6-SO3-N-acetylglucosaminidase (EC 3.2.1.-)
GT9		pfam01075	GT	lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); heptosyltransferase (EC 2.4.-.-).
GH29		pfam01120	GH	alpha-L-fucosidase (EC 3.2.1.51)
GH92	Asp	pfam07971	GH	mannosyl-oligosaccharide alpha-1,2-mannosidase (EC 3.2.1.113); mannosyl-oligosaccharide alpha-1,3-mannosidase (EC 3.2.1.-);
GH51		COG3534	GH	alpha-L-arabinofuranosidase (EC 3.2.1.55); endoglucanase (EC 3.2.1.4)
GH65		pfam03632	GH	alpha,alpha-trehalase (EC 3.2.1.28); maltose phosphorylase (EC 2.4.1.8); trehalose phosphorylase (EC 2.4.1.64); kojibiose phosphorylase (EC 2.4.1.230); trehalose-6-phosphate phosphorylase (EC 2.4.1.-);
GT51	There are two categories of enzymes in this family : monofunctional (just the GT51 module) or bifunctional (GT51 module attached to a penicillin-binding transpeptidase module). These enzymes utilise Und-PP-MurAc-(GlcNAc)-pentapeptide as the sugar donor.	pfam00912	GT	murein polymerase (EC 2.4.1.129).
GH17		pfam00332	GH	glucan endo-1,3-beta-glucosidase (EC 3.2.1.39); glucan 1,3-beta-glucosidase (EC 3.2.1.58); licheninase (EC 3.2.1.73); beta-1,3-glucanosyltransglycosylase (EC 2.4.1.-).
